classtype,TActic,TA_inb,TA_lat,TA_out,,priority,name,source,notes
attempted-admin,Privilege Escalation,,,,attempted-admin,1,Attempted Administrator Privilege Gain,SF1,
attempted-dos,Initial Access,,,,attempted-dos,2,Attempted Denial of Service,SF1,
attempted-recon,Reconnaissance,,,,attempted-recon,2,Attempted Information Leak,SF1,
attempted-user,Initial Access,Initial Access,Lateral Movement,Command and Control,attempted-user,1,Attempted User Privilege Gain,SF1,
bad-unknown,Initial Access,Initial Access,Lateral Movement,Command and Control,bad-unknown,2,Potentially Bad Traffic,SF1,
coin-mining,,,,,,2,Crypto Currency Mining Activity Detected,ET3,
command-and-control,Command and Control,,,,,1,Malware Command and Control Activity Detected,ET3,
credential-theft,Exfiltration,,,Exfiltration,,1,Successful Credential Theft Detected,ET3,
default-login-attempt,Initial Access,,,,default-login-attempt,2,Attempt to Login By a Default Username and Password,SF2,
denial-of-service,Impact,,,,denial-of-service,2,Detection of a Denial of Service Attack,SF2,???
domain-c2,Command and Control,,,,,1,Domain Observed Used for C2 Detected,ET3,
exploit-kit,Execution,,,,,1,Exploit Kit Activity Detected,ET3,
external-ip-check,Reconnaissance,,,,,2,Device Retrieving External IP Address Detected,ET3,
icmp-event,,,,,icmp-event,3,Generic ICMP event,SF2,
inappropriate-content,,,,,inappropriate-content,1,Inappropriate Content was Detected,SF1,
misc-activity,,,,,misc-activity,3,Misc activity,SF2,
misc-attack,Initial Access,Initial Access,Lateral Movement,Command and Control,misc-attack,2,Misc Attack,SF2,
network-scan,Reconnaissance,,,,network-scan,3,Detection of a Network Scan,SF2,
non-standard-protocol,,,,Command and Control,non-standard-protocol,2,Detection of a Non-Standard Protocol or Event,SF2,
not-suspicious,,,,,not-suspicious,3,Not Suspicious Traffic,SF1,
policy-violation,,,,,policy-violation,1,Potential Corporate Privacy Violation,SF2,
protocol-command-decode,Lateral Movement,,,,protocol-command-decode,3,Generic Protocol Command Decode,SF2,
pup-activity,,,,Command and Control,,2,Possibly Unwanted Program Detected,ET3,???
rpc-portmap-decode,Reconnaissance,,,,rpc-portmap-decode,2,Decode of an RPC Query,SF2,
shellcode-detect,Execution,,,,shellcode-detect,1,Executable Code was Detected,SF2,
social-engineering,Reconnaissance,,,,,2,Possible Social Engineering Attempted,ET3,
string-detect,Initial Access,,,,,3,A suspicious string was detected,SF2,
successful-admin,Privilege Escalation,,,,successful-admin,1,Successful Administrator Privilege Gain,SF1,
successful-dos,Impact,,,,successful-dos,2,Denial of Service,SF1,
successful-recon-largescale,Reconnaissance,,,,successful-recon-largescale,2,Large Scale Information Leak,SF1,
successful-recon-limited,Reconnaissance,,,,successful-recon-limited,2,Information Leak,SF1,
successful-user,Privilege Escalation,,,,successful-user,1,Successful User Privilege Gain,SF1,
suspicious-filename-detect,Execution,,,,suspicious-filename-detect,2,A Suspicious Filename was Detected,SF2,
suspicious-login,Initial Access,Initial Access,Lateral Movement,Command and Control,suspicious-login,2,An Attempted Login Using a Suspicious Username was Detected,SF2,
system-call-detect,,,,,system-call-detect,2,A System Call was Detected,SF2,
targeted-activity,Execution,,,,,1,Targeted Malicious Activity was Detected,ET3,???
tcp-connection,,,,,tcp-connection,4,A TCP Connection was Detected,SF2,
trojan-activity,Command and Control,Command and Control,Lateral Movement,Command and Control,trojan-activity,1,A Network Trojan was Detected,SF2,
unknown,,,,,unknown,3,Unknown Traffic,SF1,
unsuccessful-user,Initial Access,,,,unsuccessful-user,1,Unsuccessful User Privilege Gain,SF1,
unusual-client-port-connection,Command and Control,,,,unusual-client-port-connection,2,A Client was Using an Unusual Port,SF2,entropy anomaly?
web-application-activity,Initial Access,,,,web-application-activity,2,Access to a Potentially Vulnerable Web Application,SF2,
web-application-attack,Initial Access,,,,web-application-attack,1,Web Application Attack,SF2,
