sid,proto,source,src_port,arrow,destination,dst_port,classtype,direction,TActic,Technique,Tname,TA_inb,T_inb,TA_lat,T_lat,TA_out,T_out,msg,reference
105,tcp,$HOME_NET,2589,->,$EXTERNAL_NET,any,misc-activity,out,,,,,,,,,,"""MALWARE-BACKDOOR - Dagger_1.4.0""",
108,tcp,$EXTERNAL_NET,any,->,$HOME_NET,7597,misc-activity,inb,,,,,,,,,,"""MALWARE-BACKDOOR QAZ Worm Client Login access""",
110,tcp,$EXTERNAL_NET,any,->,$HOME_NET,12345:12346,trojan-activity,inb,Command and Control,,,Command and Control,,,,,,"""MALWARE-BACKDOOR netbus getinfo""",
115,tcp,$HOME_NET,20034,->,$EXTERNAL_NET,any,trojan-activity,out,Command and Control,,,,,,,Command and Control,,"""MALWARE-BACKDOOR NetBus Pro 2.0 connection established""",
117,tcp,$HOME_NET,any,->,$EXTERNAL_NET,any,misc-activity,out,,,,,,,,,,"""MALWARE-BACKDOOR Infector.1.x""","['nessus', '11157']"
118,tcp,$HOME_NET,666,->,$EXTERNAL_NET,any,trojan-activity,out,Command and Control,,,,,,,Command and Control,,"""MALWARE-BACKDOOR SatansBackdoor.2.0.Beta""","['url', 'www.megasecurity.org/trojans/s/satanzbackdoor/SBD2.0b.html']"
119,tcp,$HOME_NET,6789,->,$EXTERNAL_NET,any,misc-activity,out,,,,,,,,,,"""MALWARE-BACKDOOR Doly 2.0 access""",
121,tcp,$EXTERNAL_NET,1000:1300,->,$HOME_NET,146,misc-activity,inb,,,,,,,,,,"""MALWARE-BACKDOOR Infector 1.6 Client to Server Connection Request""","['nessus', '11157']"
141,tcp,$HOME_NET,31785,->,$EXTERNAL_NET,any,misc-activity,out,,,,,,,,,,"""MALWARE-BACKDOOR HackAttack 1.20 Connect""",
144,tcp,$EXTERNAL_NET,any,->,$HOME_NET,21,suspicious-login,inb,Initial Access,,,Initial Access,,,,,,"""PROTOCOL-FTP ADMw0rm ftp login attempt""",
146,tcp,$HOME_NET,30100:30102,->,$EXTERNAL_NET,any,trojan-activity,out,Command and Control,,,,,,,Command and Control,,"""MALWARE-BACKDOOR NetSphere access""",
147,tcp,$HOME_NET,6969,->,$EXTERNAL_NET,any,trojan-activity,out,Command and Control,,,,,,,Command and Control,,"""MALWARE-BACKDOOR GateCrasher""","['url', 'www.spywareguide.com/product_show.php?id=973']"
152,tcp,$HOME_NET,5401:5402,->,$EXTERNAL_NET,any,misc-activity,out,,,,,,,,,,"""MALWARE-BACKDOOR BackConstruction 2.1 Connection""",
157,tcp,$EXTERNAL_NET,any,->,$HOME_NET,666,misc-activity,inb,,,,,,,,,,"""MALWARE-BACKDOOR BackConstruction 2.1 Client FTP Open Request""",
158,tcp,$HOME_NET,666,->,$EXTERNAL_NET,any,misc-activity,out,,,,,,,,,,"""MALWARE-BACKDOOR BackConstruction 2.1 Server FTP Open Reply""",
161,udp,$EXTERNAL_NET,3344,->,$HOME_NET,3345,misc-activity,inb,,,,,,,,,,"""MALWARE-BACKDOOR Matrix 2.0 Client connect""",
162,udp,$EXTERNAL_NET,3345,->,$HOME_NET,3344,misc-activity,inb,,,,,,,,,,"""MALWARE-BACKDOOR Matrix 2.0 Server access""",
163,tcp,$HOME_NET,5714,->,$EXTERNAL_NET,any,misc-activity,out,,,,,,,,,,"""MALWARE-BACKDOOR WinCrash 1.0 Server Active""",
185,tcp,$EXTERNAL_NET,any,->,$HOME_NET,79,misc-activity,inb,,,,,,,,,,"""MALWARE-BACKDOOR CDK""",
195,udp,$HOME_NET,2140,->,$EXTERNAL_NET,any,trojan-activity,out,Command and Control,,,,,,,Command and Control,,"""MALWARE-BACKDOOR DeepThroat 3.1 Server Response""","['nessus', '10053']"
208,tcp,$HOME_NET,555,->,$EXTERNAL_NET,any,trojan-activity,out,Command and Control,,,,,,,Command and Control,,"""MALWARE-BACKDOOR PhaseZero Server Active on Network""","['url', 'www.megasecurity.org/trojans/p/phasezero/PhaseZero1.0b.html']"
209,tcp,$EXTERNAL_NET,any,->,$TELNET_SERVERS,23,attempted-admin,inb,Privilege Escalation,,,Privilege Escalation,,,,,,"""MALWARE-BACKDOOR w00w00 attempt""",
210,tcp,$EXTERNAL_NET,any,->,$TELNET_SERVERS,23,attempted-admin,inb,Privilege Escalation,,,Privilege Escalation,,,,,,"""MALWARE-BACKDOOR attempt""",
211,tcp,$EXTERNAL_NET,any,->,$TELNET_SERVERS,23,attempted-admin,inb,Privilege Escalation,,,Privilege Escalation,,,,,,"""MALWARE-BACKDOOR MISC r00t attempt""",
212,tcp,$EXTERNAL_NET,any,->,$TELNET_SERVERS,23,attempted-admin,inb,Privilege Escalation,,,Privilege Escalation,,,,,,"""MALWARE-BACKDOOR MISC rewt attempt""",
213,tcp,$EXTERNAL_NET,any,->,$TELNET_SERVERS,23,attempted-admin,inb,Privilege Escalation,T1014,Rootkit,Privilege Escalation,,,,,,"""MALWARE-BACKDOOR MISC Linux rootkit attempt""","['url', 'attack.mitre.org/techniques/T1014']"
214,tcp,$EXTERNAL_NET,any,->,$TELNET_SERVERS,23,attempted-admin,inb,Privilege Escalation,T1014,Rootkit,Privilege Escalation,,,,,,"""MALWARE-BACKDOOR MISC Linux rootkit attempt lrkr0x""","['url', 'attack.mitre.org/techniques/T1014']"
215,tcp,$EXTERNAL_NET,any,->,$TELNET_SERVERS,23,attempted-admin,inb,Privilege Escalation,T1014,Rootkit,Privilege Escalation,,,,,,"""MALWARE-BACKDOOR MISC Linux rootkit attempt""","['url', 'attack.mitre.org/techniques/T1014']"
216,tcp,$EXTERNAL_NET,any,->,$TELNET_SERVERS,23,attempted-admin,inb,Privilege Escalation,T1014,Rootkit,Privilege Escalation,,,,,,"""MALWARE-BACKDOOR MISC Linux rootkit satori attempt""","['url', 'attack.mitre.org/techniques/T1014']"
217,tcp,$EXTERNAL_NET,any,->,$TELNET_SERVERS,23,attempted-admin,inb,Privilege Escalation,,,Privilege Escalation,,,,,,"""MALWARE-BACKDOOR MISC sm4ck attempt""",
218,tcp,$EXTERNAL_NET,any,->,$TELNET_SERVERS,23,attempted-user,inb,Initial Access,,,Initial Access,,,,,,"""MALWARE-BACKDOOR MISC Solaris 2.5 attempt""",
219,tcp,$EXTERNAL_NET,any,->,$TELNET_SERVERS,23,misc-activity,inb,,,,,,,,,,"""MALWARE-BACKDOOR HidePak backdoor attempt""",
